source	path	disposition	owner_issue	wiki_invariant	verification	rationale
pr71	.claude/rules/api.md	replace	#74	repository guidance	AGENTS.md comparison and parity validator	Preserve valid guidance in AGENTS.md and remove stale conflicting rule files
pr71	.claude/rules/architecture.md	replace	#74	repository guidance	AGENTS.md comparison and parity validator	Preserve valid guidance in AGENTS.md and remove stale conflicting rule files
pr71	.claude/rules/database.md	replace	#74	repository guidance	AGENTS.md comparison and parity validator	Preserve valid guidance in AGENTS.md and remove stale conflicting rule files
pr71	.claude/rules/profile-isolation.md	replace	#74	repository guidance	AGENTS.md comparison and parity validator	Preserve valid guidance in AGENTS.md and remove stale conflicting rule files
pr71	.claude/rules/security.md	replace	#74	repository guidance	AGENTS.md comparison and parity validator	Preserve valid guidance in AGENTS.md and remove stale conflicting rule files
pr71	.dockerignore	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	.github/git-vibe.yml	exclude	#74	review orchestration	roadmap review policy	Do not change reviewer workflows in #74; serialize AI review operationally
pr71	.gitignore	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	.textlintignore	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	AGENTS.md	retain	#74	repository guidance	AGENTS.md review and parity validator	Keep a repository-owned authoritative guidance file
pr71	README.md	exclude	#74	documentation scope	bootstrap diff already released	Bootstrap DOI update already landed outside PR71 parity implementation
pr71	README.zh-CN.md	exclude	#74	documentation scope	bootstrap diff already released	Bootstrap DOI update already landed outside PR71 parity implementation
pr71	SEMANTIC_MEMORY_V2_REFACTOR_PLAN.md	replace	#74	traceable rollout	roadmap and parity summary review	Replace branch-local plan with issue-owned roadmap and parity ledger
pr71	cmd/demo-server/main.go	replace	#94	cutover readiness and UAT gates	compose UAT security and readiness gates	Use these changes as evidence for final hard gates and production-surface UAT
pr71	cmd/eval-runner/main.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	cmd/server/bootstrap_wiring_test.go	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	cmd/server/knowledge_bootstrap.go	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	cmd/server/knowledge_bootstrap_test.go	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	cmd/server/main.go	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	examples/.env.example	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	examples/docker-compose.base.yml	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	examples/docker-compose.demo.yml	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	examples/docker-compose.expert.yml	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	internal/config/config.go	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	internal/config/config_knowledge_test.go	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	internal/config/config_test.go	replace	#77	dormant V2 bootstrap	config and bootstrap tests	Wire V2 only behind dormant validated topology and readiness gates
pr71	internal/domain/claim_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/domain/domain_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/domain/dream.go	replace	#89	candidate-safe hypotheses	dream lifecycle and source-version tests	Keep generated hypotheses separate from evidence and default recall
pr71	internal/domain/evidence_security.go	replace	#78	security and evidence ledger	real PostgreSQL ledger and RLS tests	Implement append-only security/evidence ledger under wiki RLS rules
pr71	internal/domain/evidence_security_test.go	replace	#78	security and evidence ledger	real PostgreSQL ledger and RLS tests	Implement append-only security/evidence ledger under wiki RLS rules
pr71	internal/domain/fact_test.go	replace	#87	correction and forget lifecycle	lifecycle owner-mutation tests	Replace v1 lifecycle expectations with owner-scoped V2 correction and forget behavior
pr71	internal/domain/memory_placement.go	replace	#83	atomic placement outcomes	placement worker and transaction tests	Rebuild placement leases and outcomes as atomic PostgreSQL state
pr71	internal/domain/recall_feedback_event.go	replace	#88	feedback and evaluation tools	feedback snapshot and registry visibility tests	Port feedback and evaluation-only tools without mutating semantic truth
pr71	internal/domain/semantic.go	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	internal/domain/semantic_test.go	replace	#79	semantic identity and lifecycle	semantic repository integration tests	Use PR71 shape as evidence for normalized Entity Value Relationship ledger
pr71	internal/embedding/openai_provider.go	replace	#80	versioned search and embeddings	pgvector search contract/generation tests	Implement versioned search documents and vector storage with activation gates
pr71	internal/evalharness/client.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
pr71	internal/evalharness/client_refs.go	replace	#76	deterministic 1k evaluation gate	eval gate tests and parity validator	Rebuild reproducible 1k gate while keeping generated artifacts ignored
